building,pagerank,betweenness,in_degree,out_degree,total_degree,rank
wavemap_51_18_1,0.09690543938949706,0.0,14271,31850,46121,1
wavemap_76_87_1,0.09437961008946924,0.0,9764,60350,70114,2
wavemap_2_16614_1,0.08656431610421289,0.02197802197802198,8654,270,8924,3
wavemap_18_11_1,0.08369793429033617,0.0,14183,7925,22108,4
wavemap_3_17881_1,0.07841478685504966,0.0,8306,505,8811,5
wavemap_4_179_1,0.07352653480998086,0.0,7763,681,8444,6
wavemap_32_3_1,0.07247586591033847,0.0,12419,11101,23520,7
wavemap_1_17795_20,0.0673105639464281,0.631868131868132,5532,83,5615,8
wavemap_13_5607_1,0.06253076624008183,0.0,8682,3382,12064,9
wavemap_5_12699_1,0.05896480663632875,0.0,6143,677,6820,10
wavemap_9_3097_1,0.05263202166753317,0.0,6957,1579,8536,11
wavemap_6_169_1,0.05055031175987355,0.0,5683,792,6475,12
wavemap_8_3_1,0.04254888993579156,0.0,4486,903,5389,13
wavemap_11_23_1,0.042006564310798425,0.0,4963,1456,6419,14
wavemap_7_13363_2,0.03749158805428038,0.1098901098901099,4517,769,5286,15
