user_id,k_core,degree,littlebirdceo,expertise_level
49808,76,317,Davide Andrea,Elite Expert
140343,76,283,Michel Keijzers,Elite Expert
188304,76,322,Cristobol Polychronopolis,Elite Expert
117295,76,500,Jack Creasey,Elite Expert
49222,76,782,Bruce Abbott,Elite Expert
41856,76,408,DerStrom8,Elite Expert
17849,76,304,Lior Bilia,Elite Expert
183815,76,199,Stefan Wyss,Elite Expert
61398,76,584,Circuit fantasist,Elite Expert
189585,76,563,Elliot Alderson,Elite Expert
237461,76,299,SteveSh,Elite Expert
122656,76,457,glen_geek,Elite Expert
105038,76,346,Richard Crowley,Elite Expert
178229,76,281,CrossRoads,Elite Expert
38335,76,281,bitsmack,Elite Expert
2246,76,715,Chris Stratton,Elite Expert
115446,76,213,RoyC,Elite Expert
152579,76,258,richard1941,Elite Expert
53541,76,297,brhans,Elite Expert
29243,76,191,Chris H,Elite Expert
35530,76,3329,Spehro Pefhany,Elite Expert
173919,76,198,jonathanjo,Elite Expert
200815,76,199,Huisman,Elite Expert
64158,76,953,Marcus Müller,Elite Expert
46343,76,433,Guill,Elite Expert
282675,76,192,qrk,Elite Expert
5841,76,288,jpa,Elite Expert
13590,76,823,Jasen  Слава Україні,Elite Expert
9612,76,181,nanofarad,Elite Expert
260734,76,285,vir,Elite Expert
57556,76,382,Hearth,Elite Expert
212967,76,725,DKNguyen,Elite Expert
35022,76,270,MarkU,Elite Expert
78623,76,227,Drew,Elite Expert
200026,76,594,TimWescott,Elite Expert
8458,76,158,hobbs,Elite Expert
17574,76,2497,Tony Stewart EE75,Elite Expert
13616,76,956,bobflux,Elite Expert
64375,76,311,Nedd,Elite Expert
95888,76,651,Harper - Reinstate Monica,Elite Expert
238829,76,245,Audioguru,Elite Expert
75951,76,275,rackandboneman,Elite Expert
289734,76,290,Antonio51,Elite Expert
187920,76,300,Maple,Elite Expert
71895,76,318,Graham,Elite Expert
117785,76,647,Ale..chenski,Elite Expert
319836,76,278,RussellH,Elite Expert
323089,76,200,user107063,Elite Expert
140844,76,232,Damien,Elite Expert
166672,76,173,Aaron,Elite Expert
316329,76,226,PStechPaul,Elite Expert
6102,76,457,Lundin,Elite Expert
6930,76,509,Curd,Elite Expert
236379,76,217,John Doty,Elite Expert
38641,76,278,user253751,Elite Expert
292884,76,510,Simon Fitch,Elite Expert
157935,76,489,AnalogKid,Elite Expert
56642,76,323,Dirk Bruere,Elite Expert
269567,76,172,Kartman,Elite Expert
144390,76,200,Enrico Migliore,Elite Expert
15808,76,304,horta,Elite Expert
93012,76,261,Gil,Elite Expert
5640,76,396,wbeaty,Elite Expert
79282,76,405,Dan Mills,Elite Expert
17608,76,633,Phil Frost,Elite Expert
4245,76,753,Majenko,Elite Expert
985,76,524,old_timer,Elite Expert
217549,76,297,Mattman944,Elite Expert
3288,76,1732,Russell McMahon,Elite Expert
88614,76,811,Peter Green,Elite Expert
268467,76,390,Math Keeps Me Busy,Elite Expert
